ExternalId,Name,Account_ExternalId__c,StageName,CloseDate,Amount
OPP000001,Sunrise Financial Group — Renewal 2026,,Prospecting,2026-07-21,
OPP000002,Meridian Life Partners — Expansion 2026,ACC000002,Qualification,2026-07-22,5137
OPP000003,Pacific Coast Assurance — New Business 2026,ACC000003,Needs Analysis,2026-07-23,5274
OPP000004,BlueSky Protection Services — Upgrade 2026,ACC000004,Value Proposition,2026-07-24,5411
OPP000005,Cornerstone Risk Management — Upsell 2026,ACC000005,Id. Decision Makers,2026-07-25,5548
OPP000006,Evergreen Coverage Co. — Renewal 2026,ACC000006,Perception Analysis,2026-07-26,5685
OPP000007,Pinnacle Insurance Brokers — Expansion 2026,ACC000007,Proposal/Price Quote,2026-07-27,
OPP000008,Heritage Mutual Group — New Business 2026,ACC000008,Negotiation/Review,2026-07-28,5959
OPP000009,Coastal Risk Advisors — Upgrade 2026,ACC000009,Closed Won,2026-07-29,6096
OPP000010,Summit Protection Alliance — Upsell 2026,ACC000010,Closed Lost,2026-07-30,6233
OPP000011,Lighthouse Insurance Services — Renewal 2026,ACC000011,Prospecting,2026-07-31,6370
OPP000012,Cascade Financial Security — Expansion 2026,ACC000012,Qualification,2026-08-01,6507
OPP000013,Premier Risk Solutions — New Business 2026,ACC000013,Needs Analysis,2026-08-02,
OPP000014,Horizon Assurance Group — Upgrade 2026,,Value Proposition,2026-08-03,6781
OPP000015,Keystone Benefits Co. — Upsell 2026,ACC000015,Id. Decision Makers,2026-08-04,6918
OPP000016,Streamline Coverage Partners — Renewal 2026,ACC000016,Perception Analysis,2026-08-05,7055
OPP000017,Apex Insurance Holdings — Expansion 2026,ACC000017,Proposal/Price Quote,2026-08-06,7192
OPP000018,Valley Risk Management — New Business 2026,ACC000018,Negotiation/Review,2026-08-07,7329
OPP000019,Crestview Financial Services — Upgrade 2026,ACC000019,Closed Won,2026-08-08,
OPP000020,Lakeside Protection Group — Upsell 2026,ACC000020,Closed Lost,2026-08-09,7603
OPP000021,Sterling Risk Partners — Renewal 2026,ACC000021,Prospecting,2026-08-10,7740
OPP000022,Westpoint Insurance Alliance — Expansion 2026,ACC000022,Qualification,2026-08-11,7877
OPP000023,Clearwater Benefits Group — New Business 2026,ACC000023,Needs Analysis,2026-08-12,8014
