ExternalId,Subject,Status,ActivityDate,Description
TASK000001,Follow up on claim status,Completed,2026-06-21,
TASK000002,Policy renewal call,Not Started,2026-06-21,
TASK000003,Send coverage documentation,In Progress,2026-06-21,
TASK000004,Schedule client review,Completed,2026-06-21,
TASK000005,Process address change,Not Started,2026-06-21,
TASK000006,Verify beneficiary details,In Progress,2026-06-21,
TASK000007,Send premium invoice,Completed,2026-06-21,
TASK000008,Discuss policy amendment,Not Started,2026-06-21,
TASK000009,Review claim appeal,In Progress,2026-06-21,
TASK000010,Annual account review,Completed,2026-06-21,
TASK000011,Confirm payment receipt,Not Started,2026-06-21,
TASK000012,Escalation follow-up,In Progress,2026-06-21,
TASK000013,Underwriting document request,Completed,2026-06-21,
TASK000014,Welcome call — new policy,Not Started,2026-06-21,
TASK000015,Policy cancellation review,In Progress,2026-06-21,
TASK000016,Coverage question follow-up,Completed,2026-06-21,
TASK000017,Fraud investigation note,Not Started,2026-06-21,
TASK000018,Agent transfer completed,In Progress,2026-06-21,
TASK000019,Risk assessment meeting,Completed,2026-06-21,
TASK000020,General enquiry resolved,Not Started,2026-06-21,
TASK000021,Follow up on claim status,In Progress,2026-06-21,
TASK000022,Policy renewal call,Completed,2026-06-21,
TASK000023,Send coverage documentation,Not Started,2026-06-21,
TASK000024,Schedule client review,In Progress,2026-06-20,
TASK000025,Process address change,Completed,2026-06-20,
TASK000026,Verify beneficiary details,Not Started,2026-06-20,
TASK000027,Send premium invoice,In Progress,2026-06-20,
TASK000028,Discuss policy amendment,Completed,2026-06-20,
TASK000029,Review claim appeal,Not Started,2026-06-20,
TASK000030,Annual account review,In Progress,2026-06-20,
TASK000031,Confirm payment receipt,Completed,2026-06-20,
TASK000032,Escalation follow-up,Not Started,2026-06-20,
TASK000033,Underwriting document request,In Progress,2026-06-20,
TASK000034,Welcome call — new policy,Completed,2026-06-20,
TASK000035,Policy cancellation review,Not Started,2026-06-20,
TASK000036,Coverage question follow-up,In Progress,2026-06-20,
TASK000037,Fraud investigation note,Completed,2026-06-20,
TASK000038,Agent transfer completed,Not Started,2026-06-20,
TASK000039,Risk assessment meeting,In Progress,2026-06-20,
TASK000040,General enquiry resolved,Completed,2026-06-20,
TASK000041,Follow up on claim status,Not Started,2026-06-20,
TASK000042,Policy renewal call,In Progress,2026-06-20,
TASK000043,Send coverage documentation,Completed,2026-06-20,
TASK000044,Schedule client review,Not Started,2026-06-20,
TASK000045,Process address change,In Progress,2026-06-20,
TASK000046,Verify beneficiary details,Completed,2026-06-19,
TASK000047,Send premium invoice,Not Started,2026-06-19,
TASK000048,Discuss policy amendment,In Progress,2026-06-19,
TASK000049,Review claim appeal,Completed,2026-06-19,
TASK000050,Annual account review,Not Started,2026-06-19,
TASK000051,Confirm payment receipt,In Progress,2026-06-19,
TASK000052,Escalation follow-up,Completed,2026-06-19,
TASK000053,Underwriting document request,Not Started,2026-06-19,
TASK000054,Welcome call — new policy,In Progress,2026-06-19,
TASK000055,Policy cancellation review,Completed,2026-06-19,
TASK000056,Coverage question follow-up,Not Started,2026-06-19,
TASK000057,Fraud investigation note,In Progress,2026-06-19,
TASK000058,Agent transfer completed,Completed,2026-06-19,
TASK000059,Risk assessment meeting,Not Started,2026-06-19,
TASK000060,General enquiry resolved,In Progress,2026-06-19,
TASK000061,Follow up on claim status,Completed,2026-06-19,
TASK000062,Policy renewal call,Not Started,2026-06-19,
TASK000063,Send coverage documentation,In Progress,2026-06-19,
TASK000064,Schedule client review,Completed,2026-06-19,
TASK000065,Process address change,Not Started,2026-06-19,
TASK000066,Verify beneficiary details,In Progress,2026-06-19,
TASK000067,Send premium invoice,Completed,2026-06-19,
TASK000068,Discuss policy amendment,Not Started,2026-06-19,
TASK000069,Review claim appeal,In Progress,2026-06-18,
TASK000070,Annual account review,Completed,2026-06-18,
TASK000071,Confirm payment receipt,Not Started,2026-06-18,
TASK000072,Escalation follow-up,In Progress,2026-06-18,
TASK000073,Underwriting document request,Completed,2026-06-18,
TASK000074,Welcome call — new policy,Not Started,2026-06-18,
TASK000075,Policy cancellation review,In Progress,2026-06-18,
TASK000076,Coverage question follow-up,Completed,2026-06-18,
TASK000077,Fraud investigation note,Not Started,2026-06-18,
TASK000078,Agent transfer completed,In Progress,2026-06-18,
TASK000079,Risk assessment meeting,Completed,2026-06-18,
TASK000080,General enquiry resolved,Not Started,2026-06-18,
TASK000081,Follow up on claim status,In Progress,2026-06-18,
TASK000082,Policy renewal call,Completed,2026-06-18,
TASK000083,Send coverage documentation,Not Started,2026-06-18,
TASK000084,Schedule client review,In Progress,2026-06-18,
TASK000085,Process address change,Completed,2026-06-18,
TASK000086,Verify beneficiary details,Not Started,2026-06-18,
TASK000087,Send premium invoice,In Progress,2026-06-18,
TASK000088,Discuss policy amendment,Completed,2026-06-18,
TASK000089,Review claim appeal,Not Started,2026-06-18,
TASK000090,Annual account review,In Progress,2026-06-18,
TASK000091,Confirm payment receipt,Completed,2026-06-17,
TASK000092,Escalation follow-up,Not Started,2026-06-17,
TASK000093,Underwriting document request,In Progress,2026-06-17,
TASK000094,Welcome call — new policy,Completed,2026-06-17,
TASK000095,Policy cancellation review,Not Started,2026-06-17,
TASK000096,Coverage question follow-up,In Progress,2026-06-17,
TASK000097,Fraud investigation note,Completed,2026-06-17,
TASK000098,Agent transfer completed,Not Started,2026-06-17,
TASK000099,Risk assessment meeting,In Progress,2026-06-17,
TASK000100,General enquiry resolved,Completed,2026-06-17,
TASK000101,Follow up on claim status,Not Started,2026-06-17,
TASK000102,Policy renewal call,In Progress,2026-06-17,
TASK000103,Send coverage documentation,Completed,2026-06-17,
TASK000104,Schedule client review,Not Started,2026-06-17,
TASK000105,Process address change,In Progress,2026-06-17,
TASK000106,Verify beneficiary details,Completed,2026-06-17,
TASK000107,Send premium invoice,Not Started,2026-06-17,
TASK000108,Discuss policy amendment,In Progress,2026-06-17,
TASK000109,Review claim appeal,Completed,2026-06-17,
TASK000110,Annual account review,Not Started,2026-06-17,
TASK000111,Confirm payment receipt,In Progress,2026-06-17,
TASK000112,Escalation follow-up,Completed,2026-06-17,
TASK000113,Underwriting document request,Not Started,2026-06-17,
TASK000114,Welcome call — new policy,In Progress,2026-06-16,
TASK000115,Policy cancellation review,Completed,2026-06-16,
TASK000116,Coverage question follow-up,Not Started,2026-06-16,
TASK000117,Fraud investigation note,In Progress,2026-06-16,
TASK000118,Agent transfer completed,Completed,2026-06-16,
TASK000119,Risk assessment meeting,Not Started,2026-06-16,
TASK000120,General enquiry resolved,In Progress,2026-06-16,
TASK000121,Follow up on claim status,Completed,2026-06-16,
TASK000122,Policy renewal call,Not Started,2026-06-16,
