ExternalId,Subject,Status,Priority,Reason,Account_ExternalId__c,Contact_ExternalId__c
CASE000001,Billing Issue — Case 1,New,,Billing Issue,,
CASE000002,Billing Issue — Case 2,Working,Medium,Billing Issue,ACC000002,CON000002
CASE000003,Billing Issue — Case 3,Escalated,Low,Billing Issue,ACC000003,CON000003
CASE000004,Billing Issue — Case 4,Closed,,Billing Issue,ACC000004,
CASE000005,Billing Issue — Case 5,New,Medium,Billing Issue,ACC000005,CON000005
CASE000006,Billing Issue — Case 6,Working,Low,Billing Issue,ACC000006,CON000006
CASE000007,Billing Issue — Case 7,Escalated,,Billing Issue,ACC000007,
CASE000008,Billing Issue — Case 8,Closed,Medium,Billing Issue,ACC000008,CON000008
CASE000009,Billing Issue — Case 9,New,Low,Billing Issue,,CON000009
CASE000010,Billing Issue — Case 10,Working,,Billing Issue,ACC000010,
CASE000011,Billing Issue — Case 11,Escalated,Medium,Billing Issue,ACC000011,CON000011
CASE000012,Billing Issue — Case 12,Closed,Low,Billing Issue,ACC000012,CON000012
CASE000013,Billing Issue — Case 13,New,,Billing Issue,ACC000013,
CASE000014,Billing Issue — Case 14,Working,Medium,Billing Issue,ACC000014,CON000014
CASE000015,Billing Issue — Case 15,Escalated,Low,Billing Issue,ACC000015,CON000015
CASE000016,Billing Issue — Case 16,Closed,,Billing Issue,ACC000016,
CASE000017,Billing Issue — Case 17,New,Medium,Billing Issue,,CON000017
CASE000018,Billing Issue — Case 18,Working,Low,Billing Issue,ACC000018,CON000018
CASE000019,Billing Issue — Case 19,Escalated,,Billing Issue,ACC000019,
CASE000020,Billing Issue — Case 20,Closed,Medium,Billing Issue,ACC000020,CON000020
CASE000021,Billing Issue — Case 21,New,Low,Billing Issue,ACC000021,CON000021
CASE000022,Billing Issue — Case 22,Working,,Billing Issue,ACC000022,
CASE000023,Billing Issue — Case 23,Escalated,Medium,Billing Issue,ACC000023,CON000023
CASE000024,Billing Issue — Case 24,Closed,Low,Billing Issue,ACC000024,CON000024
CASE000025,Billing Issue — Case 25,New,,Billing Issue,,
CASE000026,Billing Issue — Case 26,Working,Medium,Billing Issue,ACC000026,CON000026
CASE000027,Billing Issue — Case 27,Escalated,Low,Billing Issue,ACC000027,CON000027
CASE000028,Billing Issue — Case 28,Closed,,Billing Issue,ACC000028,
CASE000029,Billing Issue — Case 29,New,Medium,Billing Issue,ACC000029,CON000029
CASE000030,Billing Issue — Case 30,Working,Low,Billing Issue,ACC000030,CON000030
CASE000031,Billing Issue — Case 31,Escalated,,Billing Issue,ACC000031,
CASE000032,Billing Issue — Case 32,Closed,Medium,Billing Issue,ACC000032,CON000032
CASE000033,Billing Issue — Case 33,New,Low,Billing Issue,,CON000033
CASE000034,Billing Issue — Case 34,Working,,Billing Issue,ACC000034,
CASE000035,Billing Issue — Case 35,Escalated,Medium,Billing Issue,ACC000035,CON000035
CASE000036,Billing Issue — Case 36,Closed,Low,Billing Issue,ACC000036,CON000036
CASE000037,Billing Issue — Case 37,New,,Billing Issue,ACC000037,
CASE000038,Billing Issue — Case 38,Working,Medium,Billing Issue,ACC000038,CON000038
CASE000039,Billing Issue — Case 39,Escalated,Low,Billing Issue,ACC000039,CON000039
CASE000040,Billing Issue — Case 40,Closed,,Billing Issue,ACC000040,
CASE000041,Billing Issue — Case 41,New,Medium,Billing Issue,,CON000041
CASE000042,Billing Issue — Case 42,Working,Low,Billing Issue,ACC000042,CON000042
CASE000043,Billing Issue — Case 43,Escalated,,Billing Issue,ACC000043,
CASE000044,Billing Issue — Case 44,Closed,Medium,Billing Issue,ACC000044,CON000044
CASE000045,Billing Issue — Case 45,New,Low,Billing Issue,ACC000045,CON000045
CASE000046,Billing Issue — Case 46,Working,,Billing Issue,ACC000046,
CASE000047,Billing Issue — Case 47,Escalated,Medium,Billing Issue,ACC000047,CON000047
CASE000048,Billing Issue — Case 48,Closed,Low,Billing Issue,ACC000048,CON000048
CASE000049,Billing Issue — Case 49,New,,Billing Issue,,
CASE000050,Billing Issue — Case 50,Working,Medium,Billing Issue,ACC000050,CON000050
CASE000051,Billing Issue — Case 51,Escalated,Low,Billing Issue,ACC000051,CON000051
