ExternalId,Subject,Status,Priority,Reason,Account_ExternalId__c,Contact_ExternalId__c
CASE000001,Order Delay — Case 1,New,,Order Delay,,
CASE000002,Order Delay — Case 2,Working,Medium,Order Delay,ACC000002,CON000002
CASE000003,Order Delay — Case 3,Escalated,,Order Delay,ACC000003,
CASE000004,Order Delay — Case 4,Closed,High,Order Delay,,CON000004
CASE000005,Order Delay — Case 5,New,,Order Delay,ACC000005,
CASE000006,Order Delay — Case 6,Working,Low,Order Delay,ACC000006,CON000006
CASE000007,Order Delay — Case 7,Escalated,,Order Delay,,
CASE000008,Order Delay — Case 8,Closed,Medium,Order Delay,ACC000008,CON000008
CASE000009,Order Delay — Case 9,New,,Order Delay,ACC000009,
CASE000010,Order Delay — Case 10,Working,High,Order Delay,,CON000010
CASE000011,Order Delay — Case 11,Escalated,,Order Delay,ACC000011,
CASE000012,Order Delay — Case 12,Closed,Low,Order Delay,ACC000012,CON000012
CASE000013,Order Delay — Case 13,New,,Order Delay,,
CASE000014,Order Delay — Case 14,Working,Medium,Order Delay,ACC000014,CON000014
CASE000015,Order Delay — Case 15,Escalated,,Order Delay,ACC000015,
CASE000016,Order Delay — Case 16,Closed,High,Order Delay,,CON000016
CASE000017,Order Delay — Case 17,New,,Order Delay,ACC000017,
CASE000018,Order Delay — Case 18,Working,Low,Order Delay,ACC000018,CON000018
CASE000019,Order Delay — Case 19,Escalated,,Order Delay,,
CASE000020,Order Delay — Case 20,Closed,Medium,Order Delay,ACC000020,CON000020
CASE000021,Order Delay — Case 21,New,,Order Delay,ACC000021,
CASE000022,Order Delay — Case 22,Working,High,Order Delay,,CON000022
CASE000023,Order Delay — Case 23,Escalated,,Order Delay,ACC000023,
CASE000024,Order Delay — Case 24,Closed,Low,Order Delay,ACC000024,CON000024
CASE000025,Order Delay — Case 25,New,,Order Delay,,
CASE000026,Order Delay — Case 26,Working,Medium,Order Delay,ACC000026,CON000026
CASE000027,Order Delay — Case 27,Escalated,,Order Delay,ACC000027,
CASE000028,Order Delay — Case 28,Closed,High,Order Delay,,CON000028
CASE000029,Order Delay — Case 29,New,,Order Delay,ACC000029,
CASE000030,Order Delay — Case 30,Working,Low,Order Delay,ACC000030,CON000030
CASE000031,Order Delay — Case 31,Escalated,,Order Delay,,
CASE000032,Order Delay — Case 32,Closed,Medium,Order Delay,ACC000032,CON000032
CASE000033,Order Delay — Case 33,New,,Order Delay,ACC000033,
CASE000034,Order Delay — Case 34,Working,High,Order Delay,,CON000034
CASE000035,Order Delay — Case 35,Escalated,,Order Delay,ACC000035,
CASE000036,Order Delay — Case 36,Closed,Low,Order Delay,ACC000036,CON000036
CASE000037,Order Delay — Case 37,New,,Order Delay,,
CASE000038,Order Delay — Case 38,Working,Medium,Order Delay,ACC000038,CON000038
CASE000039,Order Delay — Case 39,Escalated,,Order Delay,ACC000039,
CASE000040,Order Delay — Case 40,Closed,High,Order Delay,,CON000040
CASE000041,Order Delay — Case 41,New,,Order Delay,ACC000041,
CASE000042,Order Delay — Case 42,Working,Low,Order Delay,ACC000042,CON000042
CASE000043,Order Delay — Case 43,Escalated,,Order Delay,,
CASE000044,Order Delay — Case 44,Closed,Medium,Order Delay,ACC000044,CON000044
CASE000045,Order Delay — Case 45,New,,Order Delay,ACC000045,
CASE000046,Order Delay — Case 46,Working,High,Order Delay,,CON000046
CASE000047,Order Delay — Case 47,Escalated,,Order Delay,ACC000047,
CASE000048,Order Delay — Case 48,Closed,Low,Order Delay,ACC000048,CON000048
CASE000049,Order Delay — Case 49,New,,Order Delay,,
CASE000050,Order Delay — Case 50,Working,Medium,Order Delay,ACC000050,CON000050
CASE000051,Order Delay — Case 51,Escalated,,Order Delay,ACC000051,
CASE000052,Order Delay — Case 52,Closed,High,Order Delay,,CON000052
CASE000053,Order Delay — Case 53,New,,Order Delay,ACC000053,
CASE000054,Order Delay — Case 54,Working,Low,Order Delay,ACC000054,CON000054
CASE000055,Order Delay — Case 55,Escalated,,Order Delay,,
CASE000056,Order Delay — Case 56,Closed,Medium,Order Delay,ACC000056,CON000056
CASE000057,Order Delay — Case 57,New,,Order Delay,ACC000057,
CASE000058,Order Delay — Case 58,Working,High,Order Delay,,CON000058
CASE000059,Order Delay — Case 59,Escalated,,Order Delay,ACC000059,
CASE000060,Order Delay — Case 60,Closed,Low,Order Delay,ACC000060,CON000060
CASE000061,Order Delay — Case 61,New,,Order Delay,,
CASE000062,Order Delay — Case 62,Working,Medium,Order Delay,ACC000062,CON000062
CASE000063,Order Delay — Case 63,Escalated,,Order Delay,ACC000063,
CASE000064,Order Delay — Case 64,Closed,High,Order Delay,,CON000064
CASE000065,Order Delay — Case 65,New,,Order Delay,ACC000065,
CASE000066,Order Delay — Case 66,Working,Low,Order Delay,ACC000066,CON000066
CASE000067,Order Delay — Case 67,Escalated,,Order Delay,,
CASE000068,Order Delay — Case 68,Closed,Medium,Order Delay,ACC000068,CON000068
CASE000069,Order Delay — Case 69,New,,Order Delay,ACC000069,
CASE000070,Order Delay — Case 70,Working,High,Order Delay,,CON000070
CASE000071,Order Delay — Case 71,Escalated,,Order Delay,ACC000071,
CASE000072,Order Delay — Case 72,Closed,Low,Order Delay,ACC000072,CON000072
CASE000073,Order Delay — Case 73,New,,Order Delay,,
CASE000074,Order Delay — Case 74,Working,Medium,Order Delay,ACC000074,CON000074
CASE000075,Order Delay — Case 75,Escalated,,Order Delay,ACC000075,
CASE000076,Order Delay — Case 76,Closed,High,Order Delay,,CON000076
CASE000077,Order Delay — Case 77,New,,Order Delay,ACC000077,
CASE000078,Order Delay — Case 78,Working,Low,Order Delay,ACC000078,CON000078
CASE000079,Order Delay — Case 79,Escalated,,Order Delay,,
CASE000080,Order Delay — Case 80,Closed,Medium,Order Delay,ACC000080,CON000080
CASE000081,Order Delay — Case 81,New,,Order Delay,ACC000081,
CASE000082,Order Delay — Case 82,Working,High,Order Delay,,CON000082
CASE000083,Order Delay — Case 83,Escalated,,Order Delay,ACC000083,
CASE000084,Order Delay — Case 84,Closed,Low,Order Delay,ACC000084,CON000084
CASE000085,Order Delay — Case 85,New,,Order Delay,,
CASE000086,Order Delay — Case 86,Working,Medium,Order Delay,ACC000086,CON000086
CASE000087,Order Delay — Case 87,Escalated,,Order Delay,ACC000087,
CASE000088,Order Delay — Case 88,Closed,High,Order Delay,,CON000088
CASE000089,Order Delay — Case 89,New,,Order Delay,ACC000089,
CASE000090,Order Delay — Case 90,Working,Low,Order Delay,ACC000090,CON000090
CASE000091,Order Delay — Case 91,Escalated,,Order Delay,,
CASE000092,Order Delay — Case 92,Closed,Medium,Order Delay,ACC000092,CON000092
CASE000093,Order Delay — Case 93,New,,Order Delay,ACC000093,
CASE000094,Order Delay — Case 94,Working,High,Order Delay,,CON000094
CASE000095,Order Delay — Case 95,Escalated,,Order Delay,ACC000095,
CASE000096,Order Delay — Case 96,Closed,Low,Order Delay,ACC000096,CON000096
CASE000097,Order Delay — Case 97,New,,Order Delay,,
CASE000098,Order Delay — Case 98,Working,Medium,Order Delay,ACC000098,CON000098
CASE000099,Order Delay — Case 99,Escalated,,Order Delay,ACC000099,
CASE000100,Order Delay — Case 100,Closed,High,Order Delay,,CON000100
CASE000101,Order Delay — Case 101,New,,Order Delay,ACC000101,
CASE000102,Order Delay — Case 102,Working,Low,Order Delay,ACC000102,CON000102
CASE000103,Order Delay — Case 103,Escalated,,Order Delay,,
CASE000104,Order Delay — Case 104,Closed,Medium,Order Delay,ACC000104,CON000104
CASE000105,Order Delay — Case 105,New,,Order Delay,ACC000105,
CASE000106,Order Delay — Case 106,Working,High,Order Delay,,CON000106
CASE000107,Order Delay — Case 107,Escalated,,Order Delay,ACC000107,
CASE000108,Order Delay — Case 108,Closed,Low,Order Delay,ACC000108,CON000108
CASE000109,Order Delay — Case 109,New,,Order Delay,,
CASE000110,Order Delay — Case 110,Working,Medium,Order Delay,ACC000110,CON000110
CASE000111,Order Delay — Case 111,Escalated,,Order Delay,ACC000111,
CASE000112,Order Delay — Case 112,Closed,High,Order Delay,,CON000112
CASE000113,Order Delay — Case 113,New,,Order Delay,ACC000113,
CASE000114,Order Delay — Case 114,Working,Low,Order Delay,ACC000114,CON000114
CASE000115,Order Delay — Case 115,Escalated,,Order Delay,,
CASE000116,Order Delay — Case 116,Closed,Medium,Order Delay,ACC000116,CON000116
CASE000117,Order Delay — Case 117,New,,Order Delay,ACC000117,
CASE000118,Order Delay — Case 118,Working,High,Order Delay,,CON000118
CASE000119,Order Delay — Case 119,Escalated,,Order Delay,ACC000119,
CASE000120,Order Delay — Case 120,Closed,Low,Order Delay,ACC000120,CON000120
CASE000121,Order Delay — Case 121,New,,Order Delay,,
CASE000122,Order Delay — Case 122,Working,Medium,Order Delay,ACC000122,CON000122
CASE000123,Order Delay — Case 123,Escalated,,Order Delay,ACC000123,
CASE000124,Order Delay — Case 124,Closed,High,Order Delay,,CON000124
CASE000125,Order Delay — Case 125,New,,Order Delay,ACC000125,
CASE000126,Order Delay — Case 126,Working,Low,Order Delay,ACC000126,CON000126
CASE000127,Order Delay — Case 127,Escalated,,Order Delay,,
CASE000128,Order Delay — Case 128,Closed,Medium,Order Delay,ACC000128,CON000128
CASE000129,Order Delay — Case 129,New,,Order Delay,ACC000129,
CASE000130,Order Delay — Case 130,Working,High,Order Delay,,CON000130
CASE000131,Order Delay — Case 131,Escalated,,Order Delay,ACC000131,
CASE000132,Order Delay — Case 132,Closed,Low,Order Delay,ACC000132,CON000132
CASE000133,Order Delay — Case 133,New,,Order Delay,,
CASE000134,Order Delay — Case 134,Working,Medium,Order Delay,ACC000134,CON000134
CASE000135,Order Delay — Case 135,Escalated,,Order Delay,ACC000135,
CASE000136,Order Delay — Case 136,Closed,High,Order Delay,,CON000136
CASE000137,Order Delay — Case 137,New,,Order Delay,ACC000137,
CASE000138,Order Delay — Case 138,Working,Low,Order Delay,ACC000138,CON000138
CASE000139,Order Delay — Case 139,Escalated,,Order Delay,,
CASE000140,Order Delay — Case 140,Closed,Medium,Order Delay,ACC000140,CON000140
CASE000141,Order Delay — Case 141,New,,Order Delay,ACC000141,
CASE000142,Order Delay — Case 142,Working,High,Order Delay,,CON000142
CASE000143,Order Delay — Case 143,Escalated,,Order Delay,ACC000143,
CASE000144,Order Delay — Case 144,Closed,Low,Order Delay,ACC000144,CON000144
CASE000145,Order Delay — Case 145,New,,Order Delay,,
CASE000146,Order Delay — Case 146,Working,Medium,Order Delay,ACC000146,CON000146
CASE000147,Order Delay — Case 147,Escalated,,Order Delay,ACC000147,
CASE000148,Order Delay — Case 148,Closed,High,Order Delay,,CON000148
CASE000149,Order Delay — Case 149,New,,Order Delay,ACC000149,
CASE000150,Order Delay — Case 150,Working,Low,Order Delay,ACC000150,CON000150
CASE000151,Order Delay — Case 151,Escalated,,Order Delay,,
