ExternalId,Subject,Status,ActivityDate,Description
TASK000001,Follow up on order status,Completed,2026-06-21,
TASK000002,Product demo scheduled,Not Started,2026-06-21,
TASK000003,Send quote revision,In Progress,2026-06-21,
TASK000004,Contract review meeting,Completed,2026-06-21,
TASK000005,Technical spec call,Not Started,2026-06-21,
TASK000006,Delivery confirmation,In Progress,2026-06-21,
TASK000007,Invoice dispute follow-up,Completed,2026-06-21,
TASK000008,Warranty claim initiated,Not Started,2026-06-21,
TASK000009,Installation support scheduled,In Progress,2026-06-21,
TASK000010,Quarterly business review,Completed,2026-06-21,
TASK000011,Return processing started,Not Started,2026-06-21,
TASK000012,Credit memo issued,In Progress,2026-06-21,
TASK000013,Backorder notification sent,Completed,2026-06-21,
TASK000014,Custom order specification,Not Started,2026-06-21,
TASK000015,Compliance documentation sent,In Progress,2026-06-21,
TASK000016,Pipeline review completed,Completed,2026-06-21,
TASK000017,Product spec clarification,Not Started,2026-06-21,
TASK000018,Account renewal discussion,In Progress,2026-06-20,
TASK000019,Shipping damage claim filed,Completed,2026-06-20,
TASK000020,New lead qualification call,Not Started,2026-06-20,
TASK000021,Follow up on order status,In Progress,2026-06-20,
TASK000022,Product demo scheduled,Completed,2026-06-20,
TASK000023,Send quote revision,Not Started,2026-06-20,
TASK000024,Contract review meeting,In Progress,2026-06-20,
TASK000025,Technical spec call,Completed,2026-06-20,
TASK000026,Delivery confirmation,Not Started,2026-06-20,
TASK000027,Invoice dispute follow-up,In Progress,2026-06-20,
TASK000028,Warranty claim initiated,Completed,2026-06-20,
TASK000029,Installation support scheduled,Not Started,2026-06-20,
TASK000030,Quarterly business review,In Progress,2026-06-20,
TASK000031,Return processing started,Completed,2026-06-20,
TASK000032,Credit memo issued,Not Started,2026-06-20,
TASK000033,Backorder notification sent,In Progress,2026-06-20,
TASK000034,Custom order specification,Completed,2026-06-20,
TASK000035,Compliance documentation sent,Not Started,2026-06-19,
TASK000036,Pipeline review completed,In Progress,2026-06-19,
TASK000037,Product spec clarification,Completed,2026-06-19,
TASK000038,Account renewal discussion,Not Started,2026-06-19,
TASK000039,Shipping damage claim filed,In Progress,2026-06-19,
TASK000040,New lead qualification call,Completed,2026-06-19,
TASK000041,Follow up on order status,Not Started,2026-06-19,
TASK000042,Product demo scheduled,In Progress,2026-06-19,
TASK000043,Send quote revision,Completed,2026-06-19,
TASK000044,Contract review meeting,Not Started,2026-06-19,
TASK000045,Technical spec call,In Progress,2026-06-19,
TASK000046,Delivery confirmation,Completed,2026-06-19,
TASK000047,Invoice dispute follow-up,Not Started,2026-06-19,
TASK000048,Warranty claim initiated,In Progress,2026-06-19,
TASK000049,Installation support scheduled,Completed,2026-06-19,
TASK000050,Quarterly business review,Not Started,2026-06-19,
TASK000051,Return processing started,In Progress,2026-06-19,
TASK000052,Credit memo issued,Completed,2026-06-18,
TASK000053,Backorder notification sent,Not Started,2026-06-18,
TASK000054,Custom order specification,In Progress,2026-06-18,
TASK000055,Compliance documentation sent,Completed,2026-06-18,
TASK000056,Pipeline review completed,Not Started,2026-06-18,
TASK000057,Product spec clarification,In Progress,2026-06-18,
TASK000058,Account renewal discussion,Completed,2026-06-18,
TASK000059,Shipping damage claim filed,Not Started,2026-06-18,
TASK000060,New lead qualification call,In Progress,2026-06-18,
TASK000061,Follow up on order status,Completed,2026-06-18,
TASK000062,Product demo scheduled,Not Started,2026-06-18,
TASK000063,Send quote revision,In Progress,2026-06-18,
TASK000064,Contract review meeting,Completed,2026-06-18,
TASK000065,Technical spec call,Not Started,2026-06-18,
TASK000066,Delivery confirmation,In Progress,2026-06-18,
TASK000067,Invoice dispute follow-up,Completed,2026-06-18,
TASK000068,Warranty claim initiated,Not Started,2026-06-18,
TASK000069,Installation support scheduled,In Progress,2026-06-17,
TASK000070,Quarterly business review,Completed,2026-06-17,
TASK000071,Return processing started,Not Started,2026-06-17,
TASK000072,Credit memo issued,In Progress,2026-06-17,
TASK000073,Backorder notification sent,Completed,2026-06-17,
TASK000074,Custom order specification,Not Started,2026-06-17,
TASK000075,Compliance documentation sent,In Progress,2026-06-17,
TASK000076,Pipeline review completed,Completed,2026-06-17,
TASK000077,Product spec clarification,Not Started,2026-06-17,
TASK000078,Account renewal discussion,In Progress,2026-06-17,
TASK000079,Shipping damage claim filed,Completed,2026-06-17,
TASK000080,New lead qualification call,Not Started,2026-06-17,
TASK000081,Follow up on order status,In Progress,2026-06-17,
