ExternalId,Name,Account_ExternalId__c,StageName,CloseDate,Amount
OPP000001,Apex Industrial Systems — Renewal 2026,,Prospecting,2026-07-21,
OPP000002,Precision Components Ltd — Expansion 2026,ACC000002,Qualification,2026-07-22,5137
OPP000003,Granite Manufacturing Co. — New Business 2026,ACC000003,Needs Analysis,2026-07-23,
OPP000004,Ironclad Production Group — Upgrade 2026,,Value Proposition,2026-07-24,5411
OPP000005,Velocity Parts & Assembly — Upsell 2026,ACC000005,Id. Decision Makers,2026-07-25,
OPP000006,Summit Engineering Works — Renewal 2026,ACC000006,Perception Analysis,2026-07-26,5685
OPP000007,BlueForge Manufacturing — Expansion 2026,,Proposal/Price Quote,2026-07-27,
OPP000008,Strata Industrial Solutions — New Business 2026,ACC000008,Negotiation/Review,2026-07-28,5959
OPP000009,Crestline Fabrication Inc. — Upgrade 2026,ACC000009,Closed Won,2026-07-29,
OPP000010,Meridian Parts Systems — Upsell 2026,,Closed Lost,2026-07-30,6233
OPP000011,Ridgeline Manufacturing Group — Renewal 2026,ACC000011,Prospecting,2026-07-31,
OPP000012,Cascade Production Works — Expansion 2026,ACC000012,Qualification,2026-08-01,6507
OPP000013,CoreTech Assembly Co. — New Business 2026,,Needs Analysis,2026-08-02,
OPP000014,Highpoint Industrial Ltd — Upgrade 2026,ACC000014,Value Proposition,2026-08-03,6781
OPP000015,Streamline Parts & Components — Upsell 2026,ACC000015,Id. Decision Makers,2026-08-04,
OPP000016,Keystone Manufacturing Alliance — Renewal 2026,,Perception Analysis,2026-08-05,7055
OPP000017,Pacific Fabrication Systems — Expansion 2026,ACC000017,Proposal/Price Quote,2026-08-06,
OPP000018,Pinnacle Parts Group — New Business 2026,ACC000018,Negotiation/Review,2026-08-07,7329
OPP000019,Centennial Industrial Co. — Upgrade 2026,,Closed Won,2026-08-08,
OPP000020,Northgate Manufacturing Inc. — Upsell 2026,ACC000020,Closed Lost,2026-08-09,7603
OPP000021,Lakeside Engineering Works — Renewal 2026,ACC000021,Prospecting,2026-08-10,
OPP000022,Thornton Components Group — Expansion 2026,,Qualification,2026-08-11,7877
OPP000023,Broadfield Production Inc. — New Business 2026,ACC000023,Needs Analysis,2026-08-12,
OPP000024,Sterling Assembly Systems — Upgrade 2026,ACC000024,Value Proposition,2026-08-13,8151
OPP000025,Clearwater Industrial Corp. — Upsell 2026,,Id. Decision Makers,2026-08-14,
OPP000026,Apex Industrial Systems — Renewal 2026,ACC000026,Perception Analysis,2026-08-15,8425
OPP000027,Precision Components Ltd — Expansion 2026,ACC000027,Proposal/Price Quote,2026-08-16,
OPP000028,Granite Manufacturing Co. — New Business 2026,,Negotiation/Review,2026-08-17,8699
OPP000029,Ironclad Production Group — Upgrade 2026,ACC000029,Closed Won,2026-08-18,
OPP000030,Velocity Parts & Assembly — Upsell 2026,ACC000030,Closed Lost,2026-08-19,8973
OPP000031,Summit Engineering Works — Renewal 2026,,Prospecting,2026-08-20,
OPP000032,BlueForge Manufacturing — Expansion 2026,ACC000032,Qualification,2026-08-21,9247
OPP000033,Strata Industrial Solutions — New Business 2026,ACC000033,Needs Analysis,2026-08-22,
OPP000034,Crestline Fabrication Inc. — Upgrade 2026,,Value Proposition,2026-08-23,9521
OPP000035,Meridian Parts Systems — Upsell 2026,ACC000035,Id. Decision Makers,2026-08-24,
